1880,2,ОВД г. Уральска,ст.188 ч.2,12/10/18 18:00,К.МИХАНОВОЙ,46,-724166.148,5825382.056
1880,2,г.Петропавловск ГОП № 1,ст.188 ч.2,12/7/18 15:40,НЕЛЯ БОЛАТБАЕВА,2А,509815.191,6084032.142
1880,2,г.Петропавловск ГОП № 1,ст.188 ч.2,12/1/18 16:20,Жукова,23,509768.6786,6084816.318
1900,2,г.Костанай МВД,ст.190 ч.2,12/8/18 16:00,ТӘУЕЛСІЗДІК,36,142355.7085,5909282.097
1880,2,ОВД Абайского района,ст.188 ч.1,12/7/18 0:00,null,null,421847.3036,4748009.692
1880,2,ОВД Енбекшинского района,ст.188 ч.2,12/10/18 16:00,null,null,552485.5858,4686522.696
1880,2,Абайский ОП УВД г.Уральск,ст.188 ч.1,12/8/18 8:00,СТУДЕНЧЕСКАЯ,3,-726884.246,5820437.049
1880,2,ОВД г. Уральска,ст.188 ч.2,12/10/18 10:00,АБУЛХАИР ХАНА,14-Jan,-723629.3492,5825140.151
1870,1,Уалихановский район МВД,ст.187 ч.2,11/25/18 12:00,null,null,722628.874,5892250.145
1870,1,Уалихановский район МВД,ст.187 ч.1,10/1/18 12:00,null,null,722562.7281,5892250.145
1220,2,г.Павлодар Южный отдел  внутренних органов,ст.122 ч.1,12/10/18 17:00,ЛОМОВА,179/4,1044540.73,5820471.873
1880,2,г. Павлодар Северный отдел внутренних дел,ст.188 ч.1,11/12/18 1:00,ЕЛГИНА,25,1044281.416,5824013.936
1900,1,РУВД Медеуского района,ст.190 ч.1,12/10/18 21:00,Самал-2,111,1146178.997,4817580.096
1880,2,РУВД Медеуского района,ст.188 ч.2,12/10/18 8:30,Чокана Валиханова,83,1145599.367,4819695.806
1890,2,РУВД Медеуского района,ст.189 ч.1,11/1/18 15:15,Алатау,62,1149931.778,4822812.602
1900,1,РУВД Медеуского района,ст.190 ч.1,12/9/17 15:00,null,null,1145725.433,4820780.129
1880,2,Жуалынский район МВД,ст.188 ч.2,12/10/18 10:00,ГАГАРИН,14,638695.7632,4721834.59
1880,2,Узункольский район МВД,ст.188 ч.1,11/10/18 18:30,null,null,312883.1145,6035021.885
